"tool","dataset","tuning","score","residual_variance","final_dimensions"
"monocle","PBMC1","default",0.598313362926,0.576365672326091,20
"monocle","PBMC1","antibody",0.444110162713058,0.576365672326091,20
"monocle","PBMC1","celltypist",0.413427349697134,0.576365672326091,20
"scanpy","PBMC1","default",0.32931099587138,0.576365672326091,20
"scanpy","PBMC1","antibody",0.384538248453974,0.576365672326091,20
"scanpy","PBMC1","celltypist",0.333082260983451,0.576365672326091,20
"seurat","PBMC1","default",0.378630460689309,0.576365672326091,20
"seurat","PBMC1","antibody",0.377424229339371,0.576365672326091,20
"seurat","PBMC1","celltypist",0.295595385022206,0.576365672326091,20
"scvi-tools","PBMC1","default",0.351316400282869,0.576365672326091,20
"scvi-tools","PBMC1","antibody",0.406391960147104,0.576365672326091,20
"scvi-tools","PBMC1","celltypist",0.327687290099718,0.576365672326091,20
"COTAN","PBMC1","default",0.312291026668831,0.576365672326091,20
"COTAN","PBMC1","antibody",0.445016074321235,0.576365672326091,20
"COTAN","PBMC1","celltypist",0.340023228108671,0.576365672326091,20
